CS Inch	CS Tol Inch	ID Inch	ID Tol Inch	CS mm	CS Tol mm	ID mm	ID Tol mm	Dash Size	CS Inch
0.0400000	0.003	0.029	0.004	1.020	0.080	0.740	0.100	-001	0.040
0.0500000	0.003	0.042	0.004	1.270	0.080	1.070	0.100	-002	0.050
0.0600000	0.003	0.056	0.004	1.520	0.080	1.420	0.100	-003	0.060
0.0700000	0.003	0.070	0.005	1.780	0.080	1.780	0.130	-004	0.070
0.0700000	0.003	0.101	0.005	1.780	0.080	2.570	0.130	-005	0.070
0.0700000	0.003	0.114	0.005	1.780	0.080	2.900	0.130	-006	0.070
0.0700000	0.003	0.145	0.005	1.780	0.080	3.680	0.130	-007	0.070
0.0700000	0.003	0.176	0.005	1.780	0.080	4.470	0.130	-008	0.070
0.0700000	0.003	0.208	0.005	1.780	0.080	5.280	0.130	-009	0.070
0.0700000	0.003	0.239	0.005	1.780	0.080	6.070	0.130	-010	0.070
0.0700000	0.003	0.301	0.005	1.780	0.080	7.650	0.130	-011	0.070
0.0700000	0.003	0.364	0.005	1.780	0.080	9.250	0.130	-012	0.070
0.0700000	0.003	0.426	0.005	1.780	0.080	10.820	0.130	-013	0.070
0.0700000	0.003	0.489	0.005	1.780	0.080	12.420	0.130	-014	0.070
0.0700000	0.003	0.551	0.007	1.780	0.080	14.000	0.180	-015	0.070
0.0700000	0.003	0.614	0.009	1.780	0.080	15.600	0.230	-016	0.070
0.0700000	0.003	0.676	0.009	1.780	0.080	17.170	0.230	-017	0.070
0.0700000	0.003	0.739	0.009	1.780	0.080	18.770	0.230	-018	0.070
0.0700000	0.003	0.801	0.009	1.780	0.080	20.350	0.230	-019	0.070
0.0700000	0.003	0.864	0.009	1.780	0.080	21.950	0.230	-020	0.070
0.0700000	0.003	0.926	0.009	1.780	0.080	23.520	0.230	-021	0.070
0.0700000	0.003	0.989	0.010	1.780	0.080	25.120	0.250	-022	0.070
0.0700000	0.003	1.051	0.010	1.780	0.080	26.700	0.250	-023	0.070
0.0700000	0.003	1.114	0.010	1.780	0.080	28.300	0.250	-024	0.070
0.0700000	0.003	1.176	0.011	1.780	0.080	29.870	0.280	-025	0.070
0.0700000	0.003	1.239	0.011	1.780	0.080	31.470	0.280	-026	0.070
0.0700000	0.003	1.301	0.011	1.780	0.080	33.050	0.280	-027	0.070
0.0700000	0.003	1.364	0.013	1.780	0.080	34.650	0.330	-028	0.070
0.0700000	0.003	1.489	0.013	1.780	0.080	37.820	0.330	-029	0.070
0.0700000	0.003	1.614	0.013	1.780	0.080	41.000	0.330	-030	0.070
0.0700000	0.003	1.739	0.015	1.780	0.080	44.170	0.380	-031	0.070
0.0700000	0.003	1.864	0.015	1.780	0.080	47.350	0.380	-032	0.070
0.0700000	0.003	1.989	0.018	1.780	0.080	50.520	0.460	-033	0.070
0.0700000	0.003	2.114	0.018	1.780	0.080	53.700	0.460	-034	0.070
0.0700000	0.003	2.239	0.018	1.780	0.080	56.870	0.460	-035	0.070
0.0700000	0.003	2.364	0.018	1.780	0.080	60.050	0.460	-036	0.070
0.0700000	0.003	2.489	0.018	1.780	0.080	63.220	0.460	-037	0.070
0.0700000	0.003	2.614	0.020	1.780	0.080	66.400	0.510	-038	0.070
0.0700000	0.003	2.739	0.020	1.780	0.080	69.570	0.510	-039	0.070
0.0700000	0.003	2.864	0.020	1.780	0.080	72.750	0.510	-040	0.070
0.0700000	0.003	2.989	0.024	1.780	0.080	75.920	0.610	-041	0.070
0.0700000	0.003	3.239	0.024	1.780	0.080	82.270	0.610	-042	0.070
